"id","name_en","def_en"
"ACT","Activity","An activity is an operation or work process internal to a department which uses inputs to produce outputs, e.g., training, research, construction, negotiation, investigation, etc."
"ACTIV_PEOPLE","Active employees","Active employees are employees who are not on leave without pay."
"ADJUS","Adjustments, warrants and transfers","Adjustments, warrants and transfers include:
* transfers from or to other ministries such as Treasury Board Votes 5, 10, 15, 25, 30 and 33 or changes in ministry responsibility;
* transfers within the ministry from one vote to another (under Parliamentary authority), or between transfer payments;
* any unexpended amounts from or to other ministries as deemed appropriations pursuant to section 31.1 of the Financial Administration Act;
* changes to statutory amounts due to adjustments of spending forecasts included in the Estimates, due to cancellation or amendment to statutes or due to adjustments of Crown corporations borrowing authorities;
* amounts of previous years' over expenditures paid or settled in the current year and proceeds from the disposal of surplus Crown assets;
* Governor General Special Warrants to cover payments that are required when Parliament is dissolved for a general election."
"AM_IGOC","Appropriate Ministers","The designated Minister(s) identified with an organization for reporting purposes."
"APP_ACT","Appropriation act","An appropriation act is the vehicle through which expenditures from the consolidated revenue fund are authorized in order to pay for government programs and services. 
Appropriation acts begin as supply bills. Supply bills are prepared for Main and Supplementary Estimates. Once a bill is introduced to Parliament, approved and granted royal assent, it becomes law in the form of an appropriation act."
"ARLU","Annual Reference Level Update (ARLU)","Annual Reference Level Update (ARLU) is used to set the expenditure baseline for the direct program spending component of the fiscal plan, reflected in the annual federal budget, and serves as the basis for the appropriations sought from Parliament in the Main Estimates."
"AUTH","Authorities","Authorities are approvals from Parliament for individual government organizations to spend up to specific amounts. Expenditure authority from Parliament is provided in two ways:

* Annual appropriation acts that specify the amounts and broad purposes for which funds can be spent; and
* Other specific statutes that authorize payments and set out the amounts and time periods for those payments.
 
An organization’s expenditure authority received through appropriation acts may be supplemented by allocations from Treasury Board Central Votes 5, 10, 15, 25, 30 and 33.
"
"AVAIL","Available from Previous Years","Funds available from previous years are spending authorities allowed to be brought forward from the previous fiscal year. These amounts are available for spending in the current fiscal year without further approval from Parliament. These funds include only those authorities where there is a specified dollar limit on total spending or on the accumulated outstanding balance of items where revenues and receipts are available for spending. Usually these items represent revolving funds, proceeds from the disposal of surplus Crown assets or loans authorities."
"BUD_AUTH_CURRENT","Budgetary authority used in the current year","Budgetary authority used in the current year refers to the amounts spent in the current year (net of actual revenues and receipts available for spending)."
"BUD_EXP","Budgetary expenditures","Budgetary expenditures are expenditures made in accordance with specific votes or other authorities in the Estimates, or to statutory appropriations or other authorities included in various statutes and elsewhere. Budgetary expenditures consist of the cost of servicing the public debt; operating and capital expenditures; transfer payments to other levels of government, organizations or individuals; and payments to Crown corporations."
"BUD_REV","Budgetary revenue","Budgetary revenue refers to revenue related to tax revenue and user charges, payable or charged based on specific legislation, regulations or contracting authority. All tax revenue are statutory and the non-tax revenue authority codes identify the basis under which departments charge users for the provision of products or services and includes goods, regulatory and optional services, information products, use of public facilities and rights and privileges (licences, permits, patents, copyrights, etc.)."
"CAP","Capital Vote","Capital vote refers to the non-statutory expenditure vote authority (pursuant to an Appropriation Act) that provides for capital expenditures (i.e., a program where capital equals or exceeds $5 million)."
"CASUAL_PEOPLE","Employee Type : Casual Employee","Casual employees are persons employed on a determinate basis pursuant to the PSEA Section 50 for a period not exceeding 90 working days in one calendar year in any particular department or other organization to that part of the public service to which the Public Service Commission has exclusive authority to make appointments. Casual employees can be part-time or full-time:
* Full-time casual employees work the same number of scheduled hours of work as defined by the relevant collective agreement, but are not members of the bargaining unit.
* Part-time casual employees work less than the scheduled hours of work as defined by the relevant collective agreement, but are not members of the bargaining unit."
"CFMRS","Central Financial Management Reporting System (CFMRS)","The CFMRS is a central system within the suite of Public Works and Government Services Canada (PWGSC) central systems. The CFMRS contains departmental account balances at the level of the Government-wide Coding (GWC) Structure."
"CONT_TP","Contribution","Contributions are transfer payments subject to performance conditions specified in a funding agreement. Each contribution is to be accounted for by recipients and is subject to audit."
"CPA","Core Public Administration (CPA)","Core Public Administration (CPA) refers to the organizations set out in Schedules I and IV of the Financial Administration Act (FAA). Over 75 departments, agencies and commissions are included in CPA. The Treasury Board is identified as the employer of this part of the Public Service."
"CR","Core Responsibility","An enduring function or role performed by a department. The intentions of the department with respect to a Core Responsibility are reflected in one or more related Departmental Results that the department seeks to contribute to or influence."
"CROWN_SA","Appropriated Crown Corporations","Appropriated Crown corporations include any Crown corporation that receives an appropriation in a given year."
"DP","Departmental Plans (DP)","Departmental Plans (DPs) – previously named Reports on Plans and Priorities (RPP) – are forward-looking documents that provide plans for each department and agency (excluding Crown corporations). They describe departmental priorities, results and associated resource requirements covering three fiscal years. The first year of this document supplements information contained in the Main Estimates.


DPs are tabled in Parliament by the President of the Treasury Board on behalf of the ministers who preside over the appropriation-dependent departments and agencies identified in Schedules I, I.1 and II of the _Financial Administration Act_, on or before March 31 each year. They are a component of Part III (Departmental Expenditure Plans) of the Estimates process, along with the Departmental Results Reports."
"DR","Departmental Result","Departmental Results represent the changes departments seek to influence. Departmental Results are often outside departments’ immediate control, but they should be influenced by Program-level outcomes."
"DRF","Departmental Results Framework","Consists of the department’s Core Responsibilities, Departmental Results and Departmental Result Indicators.


Note: In the 2017-18 fiscal year, a new reporting format consisting of a Departmental Results Framework and Program Inventory was adopted by the following 7 departments to bring greater clarity to reporting what departments achieve and how they assess success, as per the new TBS Policy on Results:
* Canadian Human Rights Commission
* Canada Revenue Agency
* National Energy Board
* Office of the Commissioner of Lobbying
* Parole Board of Canada
* Treasury Board of Canada Secretariat
* Transportation Safety Board of Canada


By the 2018-19 fiscal year this new format will be adopted by all organizations, replacing the Program Alignment Architecture instituted by the rescinded TBS Policy on Management, Resources and Results Structure.
"
"DRR","Departmental Results Reports (DRR)","Departmental Results Reports (DRRs) – previously named Departmental Performance Reports (DPR) – are individual department and agency accounts of actual accomplishments against plans, priorities and results set out in their respective Departmental Plans (DPs). DPs and DRRs make up Part III (the Departmental Expenditure Plans) of the Estimates publications.


Through DRRs, individual departments and agencies provide information on how they are progressing toward their strategic goals. DRRs cover the most recently completed fiscal year and are normally tabled in the fall."
"EFF_ID","Efficiency","The extent to which resources are used such that a greater level of output/outcome is produced with the same level of input or, a lower level of input is used to produce the same level of output/outcome. The level of input and output/outcome could be increases or decreases in quantity, quality, or both."
"EI_IGOC","Enabling Instrument(s)","The instrument used to create and enable an organization."
"EST_DOC","Estimates Documents","Estimates Documents includes:
* Main Estimates;
* Supplementary Estimates (A);
* Supplementary Estimates (B); and
* Supplementary Estimates (C)."
"EST_PROC","Estimates Process","* The Government seeks parliamentary approval for annual expenditures through the Estimates. The Estimates (Main Estimates and Supplementary Estimates A, B and C) provide information on the planned spending levels for each department and agency.
* Supplementary Estimates present information to Parliament on the Government of Canada’s spending requirements that were not sufficiently developed in time for inclusion in the Main Estimates, and will from time to time include urgent but unforeseen expenditures, such as natural disasters.
* On occasion, organizations may identify additional spending requirements throughout the year. In such instances, Supplementary Estimates are available for organizations to receive further authorities to meet these requirements.
* Supplementary Estimates are published throughout the year; each release is identified alphabetically (A, B, C, etc.).
"
"ETYPE_PEOPLE","Employee Type","Employee Type refers to the nature of the appointment to the Public Service. There are four employee types: casual, student, term, indeterminate (including seasonal indeterminate)."
"EXP","Expenditures","Expenditures represent charges for work performed, goods received, services rendered, and transfer payments, such as grants and contributions made to outside parties, as well as charges internal to government."
"EXT_REV","Internal Expenditures","Internal expenditures refer to expenditures where the transaction has been made with another department or agency that is part of the Government of Canada accounting entity."
"EXT_REV","External Revenues","Fees or charges paid by external users, i.e., those other than government departments and agencies"
"FAA_HR_IGOC","FAA HR Schedule","The pair of Schedules in the _Financial Administration Act_ that identify a portion of the Core Public Administration*(i.e., Schedule IV) and Separate Agencies (i.e., Schedule V) for HR purposes. 


Note: the remaining portion of the Core Public Administration consists of organizations listed under Schedule I of the _Financial Administration Act_ (i.e., Ministerial Departments)."
"FAA_IGOC","FAA Institution Schedule","The set of Schedules in the _Financial Administration Act_ that makes a distinction between different institutional forms for financial administration purposes."
"FB_IGOC","Federal Board Representation","Government of Canada representation on a corporate interest’s governing body (e.g., a board of directors), either through nomination or appointment."
"FIN_DATA","Financial Data","Financial data describes spending authorities voted by Parliament along with the resulting actual expenditures as recorded in the Public Accounts of Canada."
"FPS","Federal Public Service (FPS)","Federal Public Service (FPS) refers to the collection of departments and agencies in the Core Public Administration (departments and agencies named in Schedules I and IV of the Financial Administration Act (FAA), for which the Treasury Board Secretariat is the employer), and Separate Agencies (organizations named in Schedule V of the FAA)."
"FTE","Full-Time Equivalent (FTE)","Full-time equivalent (FTE) measures the extent to which an employee represents a full person-year charge against a departmental budget. FTEs are calculated as a ratio of assigned hours of work to scheduled hours of work, as set out in collective agreements. For term and seasonal employees, the FTE calculation is also adjusted for the proportion of paid weeks in a year."
"FULL_PEOPLE","Full-time Employee","Full-time employees are persons appointed to the Public Service who are ordinarily required to work the standard number of hours per week prescribed by the relevant collective bargaining agreement or the employer, as applicable."
"FY","Fiscal Year","The fiscal year of the Government of Canada runs from April 1 to March 31. Some organizations may vary (e.g., Crown corporations)."
"G&C","Grants and Contribution Vote","Grants and contribution votes refer to the non-statutory expenditure vote authorities (pursuant to an Appropriation Act) which provide for grants and contribution expenditures (i.e., a program where grants and contributions equal or exceed $5 million)."
"GOV_EXP","Government Expenditure Plan (Part I)","The Government Expenditure Plan provides a summary and highlights of year-over-year changes in departmental spending and transfer payments in order to provide perspective on the major issues influencing government planned spending. It is Part I of the Estimates process."
"GOV_FRAM","Whole-of-government framework","The Whole-of-government framework maps the financial and non-financial contributions of departments, agencies, and Crown corporations receiving appropriations to a set of 16 high-level Government of Canada activities within four Government of Canada spending areas—Economic, Social, International, and Government Affairs."
"GRANT_TP","Grant","A grant is a transfer payment subject to pre-established eligibility and other entitlement criteria. A grant is not subject to being accounted for by a recipient, nor is it normally subject to audit by the department. The recipient may be required to report on results achieved."
"HEAD","Employee Headcount","Employee Headcount corresponds to the counts of employees of all tenures (Indeterminate, Term, Casual and Student) as well as Governor-in-Council appointees, deputy ministers, and federal judges as of March 31 of each year. Employees on leave without pay are not included. The counts include employees working in organizations in Schedules I, IV, and V of the Financial Administration Act. No adjustments are made to account for hours of work."
"IF_IGOC","Institutional Form","A term used to classify different types of federal organizations and interests."
"IFORM_APARL","Institutional Forms : Agent of Parliament","Agents of Parliament are a specialized form of Departmental Agencies that are made up of a unique group of independent statutory officers who scrutinize the activities of government. They serve Parliament in relation to its oversight role, reporting directly to Parliament and not to an individual minister. Agents account for their own activities normally by reporting to Parliament; their institutional heads are typically appointed through special resolutions of the House of Commons and the Senate. To maintain the agent’s independence, the degree of influence exercised by the executive arm of government is minimal."
"IFORM_CC","Institutional Forms : Crown corporations","Crown corporations are federal organizations that operate following a private sector model, but usually have a mixture of commercial and public policy objectives. Parent Crown corporations are directly owned by the Government of Canada and are established through legislation, letters patent, or articles of incorporation under the Canada Business Corporations Act."
"IFORM_CCACC","Institutional Forms : Crown corporations - Agent Crown corporations","Agent Crown corporations are defined by Part X of the FAA to be Crown corporations that are expressly declared by, or pursuant to, any other Act of Parliament to be agents of the Crown. Agency status is generally intended by Parliament to confer the privileges and immunities of the Crown. For example, agent Crown corporations are free from provincial and municipal taxing statutes and charges."
"IFORM_CCS","Institutional Forms : Crown corporations - Subsidiaries","Crown corporation subsidiaries are corporate entities that are owned, in whole or in part, by one or more parent Crown corporations and that can be incorporated through provincial or federal legislation. All subsidiaries are managed by their parent Crown corporation. They report to their parent Crown corporation and other shareholders, and not directly to the government, with the exception of wholly owned subsidiaries that have been directed by the government to report as a parent Crown corporation."
"IFORM_DEPT","Institutional Forms: Ministerial departments","Ministerial Departments are government organizations established through legislation and led by a Minister. Often referred to as a portfolio department, their mandate typically covers a broad area of public policy, such as industry, justice, and health. Departments are financed through parliamentary appropriations and are organized in different ways to meet various policy and administrative needs."
"IFORM_DEPTCORP","Institutional Forms : Departmental corporations","Departmental corporations are specialized entities, established through legislation, that deliver services, or perform research or regulatory functions. Departmental corporations are financed largely through parliamentary appropriations (and some user fees) and typically have a governing council or other form of management board."
"IFORM_IO","Institutional Forms : International organizations","International organizations are corporate entities created pursuant to international agreements under which Canada either holds shares or has a right to appoint or elect a number of members to a governing body. A minister represents the government in executing the rights and responsibilities accorded to Canada through the agreement."
"IFORM_JE","Institutional Forms : Joint enterprises","Joint enterprises are corporate entities whose shares are partially owned by the Government of Canada with the balance of shares owned by another level of government. A minister represents the federal government as a shareholder, executing the corresponding rights and responsibilities."
"IFORM_ME","Institutional Forms : Mixed enterprises","Mixed enterprises are corporate entities whose shares are partially owned by the Government of Canada with the balance of shares owned by private sector parties. A minister represents the government as a shareholder, executing the corresponding rights and responsibilities."
"IFORM_SA","Institutional Forms : Service agencies","Service agencies are a specialized form of departmental corporation established through tailored legislation to perform a highly operational function or service for which there is usually no private sector competition. Service agencies are financed through parliamentary appropriations and user fees. Their governing management boards and individual organizational arrangements and responsibilities are specified in the legislation; therefore, each entity’s degree of autonomy varies."
"IFORM_SGC","Institutional Forms : Shared-governance corporations","Shared-governance corporations are corporate entities without share capital for which Canada, either directly or through a Crown corporation, has a right to appoint or nominate one or more members to a governing body."
"IFORM_SOA","Institutional Forms : Special operating agencies","Special operating agencies are units within a department or agency that have some management flexibility, independence and separate accountability. They function within a framework agreement approved by the departmental Deputy Minister, the Minister and the Treasury Board, without legislation. These agencies have a clear mandate, provide services that are readily available and identifiable, and form part of the departmental legislative framework. They are considered part of the host department, and not as separate legal entities."
"IFORM_STATOA","Institutional Forms: Departmental agencies","Departmental agencies refer to entities with more narrowly defined mandates than ministerial departments, generally specified in the constituent Acts or other instruments. Their specific functions vary widely but tend to be operational in nature, and they usually operate at a distance from government with varying degrees of autonomy. These agencies include organizations listed in Schedule I.1."
"INACT_PEOPLE","Inactive employees","Inactive employees are employees who have been hired to the Public Service but who are not currently remunerated. The employee may be on leave without pay for various reasons (such as Parental Leave, Sick Leave-Without-Pay, Income-Averaging leave, etc.) or their pay may have been stopped for other reasons such as Seasonal Layoffs, or Seasonal layoff periods (i.e. House of Commons, Off-duty status, and unpaid surplus status (12 months))."
"IND_RESULT","Indicator","A qualitative or quantitative means of measuring an output or outcome, with the intention of gauging the performance of an organization, program, policy or initiative with respect to an intended result, which includes: 
* Expected result indicators – used for programs reporting under the Program Alignment Architecture until full transition in fiscal year 2018-19 to the Program Inventory format, as per the Policy on Results;
* Program outcome indicators – used for programs reporting under the Program Inventory format, as per the Policy on Results; and 
* Departmental result indicators – used for reporting under the Departmental Results Framework, as per the Policy on Results."
"INDET_PEOPLE","Employee Type :  Indeterminate / Permanent Employee","Indeterminate / Permanent employees are persons appointed to the Public Service whose tenure in the position is of an unspecified duration."
"INFORM_FED_INS","Institutional Forms : Federal organizations","Federal organizations include Parliamentary Entities and the scope of organizations grouped under Schedules I, I.1, II and III of the _Financial Administration Act (FAA)_:
* Ministerial departments—FAA, Schedule I;
* Departmental agencies—FAA, Schedule I.1;
 * Agents of Parliament (a subset of Departmental Agencies)—FAA, Schedule I.1;
* Departmental corporations—FAA, Schedule II;
 * Service agencies (a subset of Departmental corporations)—FAA, Schedule II; and
* Parent Crown corporations—FAA, Schedule III (although there are 9 additional parent Crown corporations whose governance is primarily dictated by constituent legislation and, to a lesser extent, by the FAA, Part X)."
"INT_REV","Internal Revenues","Internal revenues are a department or agency's earned revenues that involve another department or agency that is also part of the Government of Canada."
"INT_SERVICES","Internal Services","Internal Services are groups of related activities and resources that are administered to support the needs of programs and other corporate obligations of an organization. 

These groups are: 
* Management and Oversight Services
* Communications Services
* Legal Services
* Human Resources Management Services
* Financial Management Services 
* Information Management Services
* Information Technology Services
* Real Property Services
* Materiel Services
* Acquisition Services
* Travel and Other Administrative Services. 

Internal Services include only those activities and resources that apply across an organization and not to those provided specifically to a program."
"INV","Inventory of Federal Organizations and Interests","The Inventory of Federal Organizations and Interests provides a comprehensive listing of federal organizations and interests, which can be grouped by various categories (e.g., by portfolio)."
"LT_IGOC","Legal Title","The name that appears in the enabling legislation (act), proclamation, order in council, or other instrument used to create a branch of government."
"MACHINERY","Machinery of Government Changes","Machinery of government changes refer to changes in
* Ministerial mandates
* The structure of Cabinet, its committees and their decision-making processes
* The structure and organization of government portfolios
* The roles and accountability of senior public office holders
* Transitions from government to government
"
"MAINS","Main Estimates","The Main Estimates is a document that directly supports the appropriation act for the beginning of a fiscal year. It provides a listing of the resources required by individual departments and agencies for the upcoming fiscal year in order to deliver the programs for which they are responsible. It identifies the spending authorities (votes) and the amounts to be included in subsequent appropriation bills that Parliament will be asked to approve to enable the government to proceed with its spending plans. It is traditionally known as the “Blue Book”."
"MAN_IGOC","Description / Raison d’être","The purpose or reason for which an organization exists."
"NB_AUTH","Non-Budgetary authorities","Non-Budgetary authorities are authorities for assets and liabilities transactions for loans, investments and advances, or specified purpose accounts, which have been established under specific statutes or under non-statutory authorities in the Estimates and elsewhere. Non-budgetary transactions are those expenditures and receipts related to the government's financial claims on, and obligations to, outside parties. These transactions include loans, investments and advances; in cash and accounts receivable; and in public money received or collected for specified purposes."
"NONE_STAT","Non-statutory expenditures","Non-statutory expenditures are expenditures that Parliament approves annually through an Appropriation Act. Once approved the vote wording and the expenditure authority attributable to each vote become the governing conditions under which these expenditures may be made."
"OP","Program Expenditures or Operating Expenditures Vote","Program and operating expenditure votes are the expenditure vote authorities (pursuant to an Appropriation Act) which provide for departments' program and/or operating expenditures (includes capital or grants and contributions if, within a program, neither element equals or exceeds $5 million)."
"OTHER_TP","Other transfer payment","Other transfer payment is a transfer payment, other than a grant or contribution, based on legislation or other arrangement, that may be determined by a formula. Examples of other transfer payments are transfers to other orders of government such as Equalization payments as well as Canada Health and Canada Social Transfer payments."
"OUT","Outcome","An outcome is an external consequence attributed, in part, to an organization, policy, program or initiative."
"OUT_AREA","Government of Canada Activities","The Government of Canada Activities are a set of 16 high-level activities defined for the Government of Canada as a whole, grouped into four spending areas: economic affairs, social affairs, international affairs and government affairs."
"PA","Public Accounts of Canada","The Public Accounts of Canada is the report of the Government of Canada prepared annually by the Receiver General, as required by section 64 of the Financial Administration Act. It covers the fiscal year of the Government, which ends on March 31.

The information contained in the report originates from two sources of data:
*  the summarized financial transactions presented in the Accounts of Canada, maintained by the Receiver General; and
*  the detailed records, maintained by departments and agencies. 

Each department and agency is responsible for reconciling its accounts to the control accounts of the Receiver General, and for maintaining detailed records of the transactions in their accounts.
"
"PAA","Program Alignment Architecture","The Program Alignment Architecture is an inventory of all the programs undertaken by a department. The programs are depicted in their logical relationship to each other and to the strategic outcome(s) to which they contribute. The Program Alignment Architecture is the initial document for the establishment of a Management, Resources and Results Structure. By the 2018-19 fiscal year, the Program Alignment Architecture format for reporting results will be fully replaced by the new Departmental Results Framework and Program Inventory."
"PARL_ORG","Appropriated Parliamentary Entities","Organizations covered by the Parliament of Canada Act."
"PART_PEOPLE","Part-time Employee","Part-time employees are persons employed to work less than the normally scheduled daily or weekly hours of work, prescribed by the relevant collective bargaining agreement or the employer, established for full-time employees of the same occupational group and level."
"PART1","Government Expenditure Plan","The Government Expenditure Plan corresponds to Part I of the Estimates process. It provides a summary and highlights of year-over-year changes in departmental spending and transfer payments in order to provide perspective on the major issues influencing government planned spending."
"PEOPLE","Data about Public Servants","The InfoBase present different types of data which are used to describe Public servants such as:
* Salary information, which is available as financial data in [Standard Object 01](#SOBJ1);
* [People Management data](#PEOPLE_DATA)  which presents key demographics for the [Federal Public Service](#FPS); and,
* and [Full Time Equivalent (FTEs)](#FTE) which measures the extent to which an employee represents a full person-year charge against a departmental budget."
"PEOPLE_DATA","People Management","People Management data presents key demographics of the Federal Public Service (FPS) workforce."
"PERC_IGOC","Percentage Share of Federal Ownership","The share ownership by the Government of Canada of a corporate interest."
"PI","Program Inventory","Identifies all of the department’s programs and describes how resources are organized to contribute to the department’s Core Responsibilities and Results.


Note: In the 2017-18 fiscal year, a new reporting format consisting of a Departmental Results Framework and Program Inventory was adopted by the following 7 departments to bring greater clarity to reporting what departments achieve and how they assess success, as per the new TBS Policy on Results:
* Canadian Human Rights Commission
* Canada Revenue Agency
* National Energy Board
* Office of the Commissioner of Lobbying
* Parole Board of Canada
* Treasury Board of Canada Secretariat
* Transportation Safety Board of Canada


By the 2018-19 fiscal year this new format will be adopted by all organizations, replacing the Program Alignment Architecture instituted by the rescinded TBS Policy on Management, Resources and Results Structure."
"PLAN_DATA","Planning Data",""
"PLANNED_EXP","Planned Spending","For Departmental Plans (DPs) and Departmental Results Reports (DRRs), planned spending refers to those amounts that receive Treasury Board approval by February 1. Therefore, planned spending (including voted and statutory items) may include amounts incremental to planned expenditures presented in the Main Estimates."
"PLANNED_FTE","Planned Full-Time Equivalents (FTEs)","Planned FTEs is a measure of the extent to which an employee represents a full person-year charge against the departmental budget for future spending years. Full-time equivalents are calculated as a ratio of assigned hours of work to scheduled hours of work. Scheduled hours of work are set out in collective agreements."
"PO","Program Outcome","A change or consequence attributable to outputs or to which outputs or other outcomes of the program contribute. Program outcomes may be a hierarchy of short-, medium-, or long-term, and are generally more directly influenced by departments and within their immediate control than Departmental Results. Program outcomes are found at the Program level, whereas Departmental Results are found at the Core Responsibility level."
"POL_RES","Policy on Results","Identifies all of the organization's programs and describes how resources are organized to contribute to the department’s Core Responsibilities and Results."
"POP_IGOC","Population Code","A legacy code used for HR classification purposes."
"PROG","Program","A program is a group of related resource inputs and activities that are managed to meet specific needs and to achieve intended results, and that are treated as a budgetary unit."
"QFR","Quarterly Financial Reports (QFRs)","Quarterly financial reports (QFR) for departments and agencies consist of financial tables comparing planned and actual expenditures for both the quarter and year-to-date as well as comparative information for the preceding fiscal year. 

The reports also contain a narrative section which provides a concise discussion on the significant changes affecting both the quarter and year to date financial results, and changes in relation to operations, personnel and programs.
 
Quarterly financial reports supplement existing year-end reporting by federal organizations.  Each report includes spending authorities granted through the Main and Supplementary Estimates as well as any allotment transfers approved by Treasury Board that have become available for use by the institution at the end of the quarter.

Departments, agencies and Crown corporations must publish a quarterly financial report on their website for each of the first three quarters of the fiscal year within 60 days of the end of the reporting period."
"QFR_DEPT","Departments and Agencies required to publish a QFR","Based on _Treasury Board Accounting Standard 1.3 - Departmental and Agency Quarterly Financial Report_, all departments and organizations defined as departments within the meaning of section 2 of the_ Financial Administration Act_ (FAA) are required to publish a quarterly financial report for each of the first three quarters of the fiscal year.

Under section 2 of the FAA: “Department” means
* (a) any of the departments named in Schedule I,
* (a.1) any of the divisions or branches of the federal public administration set out in column I of Schedule I.1,
* (b) a commission under the Inquiries Act that is designated by order of the Governor in Council as a department for the purposes of this Act,
* (c) the staffs of the Senate, House of Commons, Library of Parliament, office of the Senate Ethics Officer and office of the Conflict of Interest and Ethics Commissioner, and
* (d) any departmental corporation."
"RESULT","Results","An external consequence attributed, in part, to an organization, policy, program or initiative. Results are set within various control areas of the organization and include: 
* Expected results – used for programs reporting under the Program Alignment Architecture until full transition in fiscal year 2018-19 to the Program Inventory format, as per the Policy on Results; 
* Program outcomes – used for programs reporting under the Program Inventory format, as per the Policy on Results; and
* Departmental results – used for reporting under the Departmental Results Framework, as per the Policy on Results."
"SA","Government of Canada Spending areas","Government of Canada spending areas refer to the four spending areas defined for the government as a whole against which budgetary expenditures are aligned."
"SE_PEOPLE","Separate Agencies","Separate Agencies are organizations for which the Treasury Board is not the employer, but for which the Public Service Commission has exclusive authority to make appointments. They represent a portion of the federal public administration named in Schedule V of the Financial Administration Act (FAA)."
"SEAS_PEOPLE","Employee Type : Seasonal Employee","Seasonal employees are persons employed to work a portion of a year (season) each year."
"SO","Strategic Outcome","A strategic outcome is a long-term and enduring benefit to Canadians that stems from a department's mandate and vision. It represents the difference a department intends to make for Canadians and should be measurable and within the department's sphere of influence."
"SOBJ","Standard Objects","Standard objects are the highest level of classification for categorizing expenditures and are used for Parliamentary and organizational management purposes. All departments, agencies and Crown corporations must register their expenditures for purchases to one of twelve expenditure categories. They are as follows:
1. Personnel
2. Transportation and communications
3. Information
4. Professional and special services
5. Rentals
6. Purchased repairs and maintenance
7. Utilities, material and supplies
8. Acquisition of land, buildings and works
9. Acquisition of machinery and equipment
10. Transfer payments
11. Public debt charge
12. Other subsidies and payments"
