"DeptCode","ActivityCode","AuthorityType","Expenditures_2015","Expenditures_2016"
"ACOA","ABH00","S",2992431.30,2869105.30
"ACOA","ABH00","V",168971771.97,183362765.19
"ACOA","ABK00","S",1339646.27,1430196.86
"ACOA","ABK00","V",90063199.35,105383436.33
"ACOA","ABR00","S",945127.32,1012050.10
"ACOA","ABR00","V",10883107.88,13626491.23
"ACOA","ISC00","S",2560667.47,2596478.74
"ACOA","ISC00","V",23853016.24,22084978.25
"AECB","DAI00","S",1413181.99,1513217.43
"AECB","DAI00","V",8760395.89,10057417.85
"AECB","DAJ00","S",68038152.69,70081114.30
"AECB","DAJ00","V",-28035853.24,-29023542.98
"AECB","DAK00","S",1732907.55,1696617.49
"AECB","DAK00","V",12197174.49,11698929.47
"AECB","DAL00","S",1325582.99,971211.33
"AECB","DAL00","V",4657207.92,4356034.53
"AECB","DAM00","S",5080301.74,4735486.25
"AECB","DAM00","V",21616643.47,19639934.35
"AECB","ISC00","S",20543314.02,20189272.89
"AECB","ISC00","V",20639658.72,21210337.48
"AECL","ATV00","V",491064000.00,784133000.00
"AGR","AAA00","S",889752869.20,1239063436.84
"AGR","AAA00","V",33932591.94,37856623.62
"AGR","AAB00","S",-962575.39,-1046008.06
"AGR","AAH00","S",311677.58,295520.11
"AGR","AAH00","V",2775673.89,2540380.10
"AGR","ABG00","S",38269437.40,37187059.90
"AGR","ABG00","V",562100893.35,585661292.43
"AGR","ABQ00","S",2254674.73,1869722.13
"AGR","ABQ00","V",48181946.89,405943712.30
"AGR","CMA00","S",5677745.26,5888547.83
"AGR","CMA00","V",192912917.07,148616782.54
"AGR","ISC00","S",14982594.81,14432103.13
"AGR","ISC00","V",138219145.53,136601176.77
"ATSSC","CHC00","S",3209810.42,2586693.71
"ATSSC","CHC00","V",17187935.62,19160306.06
"ATSSC","CHD00","S",1760076.92,1246330.71
"ATSSC","CHD00","V",5717329.34,6592359.40
"ATSSC","CHE00","S",1879265.21,2137785.17
"ATSSC","CHE00","V",9227430.53,8812143.44
"ATSSC","ISC00","S",1793797.22,1505054.81
"ATSSC","ISC00","V",16076347.09,18121333.74
"CAS","ARW00","S",1873927.68,1983200.39
"CAS","ARW00","V",25260173.95,24474167.64
"CAS","ARX00","S",2416938.52,2813042.27
"CAS","ARX00","V",21222812.40,21696295.81
"CAS","ISC00","S",2405638.52,1873153.88
"CAS","ISC00","V",19115179.14,19437388.50
"CATSA","BIY00","V",656747273.00,725303977.00
"CB","AOJ00","S",206723.69,195375.25
"CB","AOJ00","V",2079267.07,2312164.28
"CB","ISC00","S",48490.74,45828.76
"CB","ISC00","V",494223.69,542359.46
"CBC","ACH00","V",1038023798.00,1113023798.00
"CBSA","AWZ00","S",16298792.99,16391495.72
"CBSA","AWZ00","V",179933638.18,170909655.28
"CBSA","AXB00","S",104831167.79,93531952.58
"CBSA","AXB00","V",794957644.06,753879566.88
"CBSA","AXE00","S",5147663.60,4994879.99
"CBSA","AXE00","V",27029954.71,25339080.85
"CBSA","AXI00","S",10121528.39,9211461.03
"CBSA","AXI00","V",74285651.06,60286955.26
"CBSA","AXJ00","S",1440965.34,1288924.73
"CBSA","AXJ00","V",9881898.12,8662326.10
"CBSA","HGB00","S",3976813.69,3978708.98
"CBSA","HGB00","V",27217027.57,28198660.86
"CBSA","HGC00","S",12504940.57,12744472.42
"CBSA","HGC00","V",149464775.69,143689894.04
"CBSA","ISC00","S",33117160.10,30350137.16
"CBSA","ISC00","V",346083609.23,335492715.94
"CC","ACF00","V",182224388.00,222574389.00
"CCC","AQS00","V",8880000.00,3510000.00
"CCMD","DAS00","S",27691240.27,11308973.51
"CCMD","DAS00","V",31309657.31,49708234.58
"CCMD","ISC00","S",13637164.62,3013710.00
"CCMD","ISC00","V",19514068.62,18753320.20
"CCOHS","AMH00","S",3987746.10,4078971.79
"CCOHS","AMH00","V",2740783.70,3039164.56
"CCOHS","ISC00","S",1626187.02,1743672.91
"CCOHS","ISC00","V",1563400.37,1068587.44
"CCRA","ABW00","S",25027175.31,25699300.11
"CCRA","ABW00","V",156187302.08,174750397.33
"CCRA","ABX00","S",71321511.89,58204031.88
"CCRA","ABX00","V",535056113.96,488761679.84
"CCRA","ABY00","S",343540095.43,353442342.68
"CCRA","ABY00","V",105860156.99,121774432.06
"CCRA","ABZ00","S",167175296.96,49963526.51
"CCRA","ABZ00","V",251263361.96,296081855.97
"CCRA","ACB00","S",83061470.83,113816485.39
"CCRA","ACB00","V",412280783.92,611308873.60
"CCRA","ACC00","S",159888081.05,156442989.32
"CCRA","ACC00","V",916768683.68,944566945.00
"CCRA","ACD00","S",239835.11,326625.85
"CCRA","ACD00","V",1807323.80,2568160.39
"CCRA","ISC00","S",183896174.81,178739853.29
"CCRA","ISC00","V",733613925.89,813500263.32
"CDC","AAL00","V",3723258.00,3773193.00
"CEAA","AGG00","S",982145.84,1995737.30
"CEAA","AGG00","V",16931461.29,22264849.62
"CEAA","AGH00","S",278274.66,565458.94
"CEAA","AGH00","V",4855872.11,7392327.83
"CEAA","ISC00","S",376489.24,765032.61
"CEAA","ISC00","V",5792058.67,5704593.67
"CEO","HGG00","S",319379772.82,35055676.12
"CEO","HGG00","V",12207029.22,12096552.01
"CEO","HGI00","S",112081576.83,7909821.83
"CEO","HGI00","V",4695747.04,4788251.30
"CEO","HGJ00","S",5109824.87,5927495.65
"CEO","HGJ00","V",3134478.22,2908387.41
"CEO","ISC00","S",20459046.80,25251082.40
"CEO","ISC00","V",9338878.26,8494456.99
"CFDC","AFB00","V",63445365.00,68787234.16
"CFDC","AFF00","V",21878896.00,17415897.03
"CFDC","ISC00","V",10129290.00,11250419.81
"CFGB","ATA00","S",459409.09,421576.47
"CFGB","ATA00","V",3907733.09,3617243.53
"CFGB","ISC00","S",196889.52,180675.55
"CFGB","ISC00","V",1687565.88,1766306.34
"CFIA","AAQ00","S",58268836.23,41820765.84
"CFIA","AAQ00","V",317844695.49,326747813.13
"CFIA","AJY00","S",36378261.89,61590418.74
"CFIA","AJY00","V",104664865.03,111656031.18
"CFIA","AJZ00","S",16178147.24,12874098.84
"CFIA","AJZ00","V",63628914.97,66561489.97
"CFIA","HGA00","S",4045237.46,3747420.52
"CFIA","HGA00","V",28506927.80,27481866.18
"CFIA","ISC00","S",39359804.62,41472671.77
"CFIA","ISC00","V",80486836.30,91959283.95
"CGC","AAW00","S",2993596.72,4163991.68
"CGC","AAW00","V",4801995.30,4526184.90
"CGC","AAZ00","S",-41890675.19,-43976648.69
"CGC","ABB00","S",-4388290.56,-4515841.39
"CGC","ABD00","S",1275019.27,1417064.52
"CGC","ISC00","S",15780159.38,17590881.95
"CGC","ISC00","V",219051.70,221379.91
"CH","ACR00","S",1456134.26,1251940.74
"CH","ACR00","V",218220838.57,209398765.45
"CH","ACS00","S",1517526.63,1544985.29
"CH","ACS00","V",109417840.95,192976619.45
"CH","ACU00","S",3089848.18,3015011.24
"CH","ACU00","V",295872528.41,300713289.82
"CH","ADA00","S",1641132.76,1531139.97
"CH","ADA00","V",27104342.05,28782188.60
"CH","ADB00","S",5035451.68,4992512.53
"CH","ADB00","V",91927228.79,144886655.16
"CH","ADM00","S",1551574.03,1381637.71
"CH","ADM00","V",44176733.54,49345405.45
"CH","ADN00","S",1904436.15,1811500.23
"CH","ADN00","V",356962638.83,364117403.77
"CH","AFQ00","S",140378.30,261355.16
"CH","AFQ00","V",3544344.28,9805197.67
"CH","ISC00","S",8559312.31,8088156.37
"CH","ISC00","V",68825033.89,69364158.26
"CHRC","DAR00","S",1704929.68,1601995.12
"CHRC","DAR00","V",13300087.50,13092116.10
"CHRC","ISC00","S",910221.35,844142.64
"CHRC","ISC00","V",6436915.61,6142315.64
"CI","AFP00","S",4216710.95,6701770.68
"CI","AFP00","V",29403484.70,43497843.09
"CI","AFV00","S",1035809.97,1132624.51
"CI","AFV00","V",40724272.09,83353775.35
"CI","AFW00","S",9775897.33,11134117.72
"CI","AFW00","V",98229378.64,111354363.71
"CI","COA00","S",-252405047.63,-305527339.71
"CI","ISC00","S",18599230.87,19145174.36
"CI","ISC00","V",199247116.15,201889791.43
"CI","LJI00","S",20349379.96,11672653.79
"CI","LJI00","V",38018995.48,36763345.33
"CI","LJV00","S",4261986.04,5216031.28
"CI","LJV00","V",25109750.93,25202421.74
"CI","LJW00","S",5557708.81,4531605.20
"CI","LJW00","V",98703624.07,50323079.45
"CI","LJX00","S",3634910.72,3902118.66
"CI","LJX00","V",1103395945.91,1216746483.40
"CI","LJY00","S",10952368.21,8798170.61
"CI","LJY00","V",67041577.28,57462759.45
"CI","LJZ00","S",526917.18,512868.82
"CI","LJZ00","V",5953694.21,6236590.05
"CI","X0001","S",266006.49,0.00
"CI","X0001","V",3897547.73,0.00
"CICS","AVS00","S",213905.45,157511.91
"CICS","AVS00","V",3347222.31,3422502.95
"CICS","ISC00","S",100661.38,119017.58
"CICS","ISC00","V",1608761.77,1542905.94
"CIHR","BDW00","S",2600284.54,1278893.54
"CIHR","BDW00","V",702811760.38,708944047.36
"CIHR","BDX00","S",1842795.82,1530925.85
"CIHR","BDX00","V",306639720.08,337738260.82
"CIHR","ISC00","S",1122597.13,2866583.44
"CIHR","ISC00","V",11360995.01,28971633.62
"CMC","ACT00","V",83587255.00,77746477.00
"CMHC","ALQ00","V",19468999.32,26793192.86
"CMHC","ALW00","V",23450421.49,32830041.01
"CMHC","CDA00","V",1670346270.15,1690482335.49
"CMHC","CDB00","V",282953018.40,1353290491.59
"CMHC","CDC00","V",12150673.78,25735114.53
"CMHR","ACW00","V",21700000.00,33604000.00
"CMI","ADT00","V",7700000.00,7900000.00
"CMN","ACV00","V",26452593.00,29770297.00
"CNEDA","CLA00","S",479544.86,526920.41
"CNEDA","CLA00","V",36191217.54,43344790.10
"CNEDA","CLB00","S",414959.34,417536.59
"CNEDA","CLB00","V",3534952.43,3683822.79
"CNEDA","ISC00","S",445096.52,428123.04
"CNEDA","ISC00","V",5882649.32,5237855.92
"CNMI","BJC00","V",350859000.00,98967000.00
"CPC","ABU00","V",22210000.00,22210000.00
"CPCC","AMW00","S",18426.48,0.00
"CPCC","AMW00","V",1168245.60,0.00
"CPCC","DAT00","S",200744.61,198339.77
"CPCC","DAT00","V",5191175.18,8383029.99
"CPCC","DAU00","S",86312.37,123333.10
"CPCC","DAU00","V",1001736.98,2865174.18
"CPCC","ISC00","S",108394.94,181727.57
"CPCC","ISC00","V",1799601.93,4114873.77
"CRTC","CAA00","S",1681356.08,1624253.02
"CRTC","CAA00","V",-533271.23,484569.28
"CRTC","CAB00","S",2102767.68,1904775.60
"CRTC","CAB00","V",60329.64,-1261035.31
"CRTC","CPA00","S",1130013.49,1140144.64
"CRTC","CPA00","V",3600500.42,4087686.36
"CRTC","ISC00","S",1501480.14,1563851.68
"CRTC","ISC00","V",1455241.00,1847300.41
"CSA","ANW00","S",1202164.11,1400456.11
"CSA","ANW00","V",60601869.31,77604260.05
"CSA","ANX00","S",1814176.25,1743698.04
"CSA","ANX00","V",207372884.19,168889230.67
"CSA","ANY00","S",2538592.37,2404835.78
"CSA","ANY00","V",93881205.68,89906152.19
"CSA","ISC00","S",3098915.71,3106720.77
"CSA","ISC00","V",42289250.46,43242924.13
"CSC","BER00","S",142377742.80,135891276.23
"CSC","BER00","V",1377374001.26,1374298878.92
"CSC","BES00","S",43813854.36,38860764.34
"CSC","BES00","V",354351519.75,359388371.32
"CSC","BET00","S",2975846.00,2902434.23
"CSC","BET00","V",138915498.12,151894297.11
"CSC","ISC00","S",30583066.66,28269283.70
"CSC","ISC00","V",267393115.64,271299095.15
"CTA","BAN00","S",1389434.71,1323793.37
"CTA","BAN00","V",9710167.39,9246042.99
"CTA","BAO00","S",1163248.11,1108292.12
"CTA","BAO00","V",9171587.99,7860916.56
"CTA","ISC00","S",678574.69,646503.73
"CTA","ISC00","V",6141219.18,6762528.35
"CTAIB","AVX00","S",1512101.73,1471020.98
"CTAIB","AVX00","V",11630538.04,11478160.92
"CTAIB","AVY00","S",649000.21,635005.46
"CTAIB","AVY00","V",4515231.04,4317738.46
"CTAIB","AVZ00","S",34433.01,33384.27
"CTAIB","AVZ00","V",272695.25,254426.58
"CTAIB","AWC00","S",678346.24,703041.54
"CTAIB","AWC00","V",5068079.86,5096817.91
"CTAIB","ISC00","S",583836.30,552335.64
"CTAIB","ISC00","V",5088228.43,5450812.70
"EA","AJG00","S",17840023.17,15967499.38
"EA","AJG00","V",937116822.17,880593590.59
"EA","AJK00","S",16673905.70,23635846.81
"EA","AJK00","V",676992044.88,678433801.92
"EA","AJL00","S",3684258.39,4197511.37
"EA","AJL00","V",44720208.26,44549471.09
"EA","AJP00","S",7290489.62,7218418.24
"EA","AJP00","V",68918807.15,77153150.77
"EA","AJQ00","S",11365678.88,12572402.64
"EA","AJQ00","V",153093622.37,181329943.88
"EA","AJR00","S",15001112.64,13043485.32
"EA","AJR00","V",219376571.98,216289675.13
"EA","DAN00","S",3116725.68,1616470.72
"EA","DAN00","V",361300683.80,463615910.54
"EA","DAP00","S",324893786.26,315381810.02
"EA","DAP00","V",2156054871.95,2238575814.64
"EA","DAQ00","S",2614669.26,2695883.62
"EA","DAQ00","V",697488542.87,849349965.83
"EA","ISC00","S",29742764.52,17422476.31
"EA","ISC00","V",249566976.49,216381677.73
"EC","AGL00","S",7818590.83,7536939.85
"EC","AGL00","V",142580502.44,145499051.72
"EC","AGM00","S",9499314.78,7580435.27
"EC","AGM00","V",72284973.99,63152084.87
"EC","AGR00","S",15690984.60,14850666.52
"EC","AGR00","V",165656783.87,165272636.38
"EC","AGS00","S",9507877.46,8208702.05
"EC","AGS00","V",74021734.95,79592746.21
"EC","BDJ00","S",4995386.70,4704178.41
"EC","BDJ00","V",10326461.57,10939346.77
"EC","BDK00","S",4917079.78,5070065.71
"EC","BDK00","V",73873844.54,93376806.56
"EC","BDO00","S",4125143.29,3935991.16
"EC","BDO00","V",36509229.85,36403340.63
"EC","BIA00","S",9873372.13,13061935.81
"EC","BIA00","V",109734154.60,136442287.49
"EC","BKF00","S",1717167.58,1695972.93
"EC","BKF00","V",18254595.80,15815326.88
"EC","ISC00","S",18490941.54,17418116.91
"EC","ISC00","V",161049255.23,175311648.43
"EDC","AJQ00","S",3699980.05,8210493.66
"ERC","BEN00","S",154130.46,156132.60
"ERC","BEN00","V",1363839.02,1368145.39
"FBCL","BJG00","V",20119298.83,41781858.30
"FCAC","SGA00","S",16272565.36,17426663.55
"FEDSO","BMF00","S",631394.01,611660.21
"FEDSO","BMF00","V",46406312.50,62805473.35
"FEDSO","BMR00","S",294650.65,232431.10
"FEDSO","BMR00","V",55256270.17,78995969.97
"FEDSO","HGL00","S",729610.97,623893.61
"FEDSO","HGL00","V",68998451.19,62550077.24
"FEDSO","ISC00","S",1558627.70,1370119.20
"FEDSO","ISC00","V",15921977.29,14945987.66
"FIN","BLH00","S",6946363.61,6934671.87
"FIN","BLH00","V",56570508.99,62922094.63
"FIN","BLI00","S",22793429403.08,21282396928.05
"FIN","BLJ01","S",29852656804.98,30466632980.01
"FIN","BLJ01","V",542115.14,512429.49
"FIN","BLJ02","S",-267606150.22,4642293.77
"FIN","BLJ02","V",422818.04,546491.87
"FIN","BLJ06","S",34024617855.00,36057581263.00
"FIN","BLJ09","S",0.00,13588.20
"FIN","BLJ09","V",3000000.00,4091980.96
"FIN","BLJ11","S",492826409.96,492834927.72
"FIN","BLJ11","V",97678.01,101048.45
"FIN","ISC00","S",3942607.89,3458514.22
"FIN","ISC00","V",39865744.91,38883025.49
"FJA","ARP00","S",186004.08,190431.96
"FJA","ARP00","V",2302902.50,2571867.03
"FJA","ARR00","S",538358.46,551205.45
"FJA","ARR00","V",7038585.36,7869209.51
"FJA","ARS00","S",532643045.05,534886932.91
"FJA","ISC00","S",53184.00,53184.00
"FJA","ISC00","V",664752.00,673616.00
"FO","AIP00","S",4929439.84,4945108.04
"FO","AIP00","V",56724137.28,60124808.34
"FO","AIV00","S",1827511.32,1771822.88
"FO","AIV00","V",216120228.26,294402862.65
"FO","AIW00","S",1809658.51,1739450.45
"FO","AIW00","V",19283045.38,18870282.90
"FO","CGA00","S",170663.28,126871.43
"FO","CGA00","V",2038065.82,2035376.19
"FO","HAA00","S",12505995.29,12191427.44
"FO","HAA00","V",118747486.07,129821539.69
"FO","HAB00","S",4116745.12,4509895.90
"FO","HAB00","V",43017698.47,48343224.71
"FO","HGN00","S",1474769.63,1449562.50
"FO","HGN00","V",84603026.67,80721846.77
"FO","HGO00","S",2356508.86,2337515.72
"FO","HGO00","V",21604568.72,22691721.10
"FO","HGP00","S",625850.88,628468.96
"FO","HGP00","V",5138197.09,6169642.21
"FO","HGQ00","S",317361.57,225231.79
"FO","HGQ00","V",3460969.94,3034616.54
"FO","HGR00","S",713514.67,679163.22
"FO","HGR00","V",13497049.35,15942598.39
"FO","HGS00","S",2077399.02,2202177.96
"FO","HGS00","V",41555093.24,51584114.62
"FO","HGW00","S",141135.29,133827.48
"FO","HGW00","V",1188371.22,1190209.67
"FO","HGX00","S",8899328.13,8207838.48
"FO","HGX00","V",90650367.52,95055907.25
"FO","HGY00","S",2300896.22,2243376.99
"FO","HGY00","V",27195645.68,27949250.72
"FO","ISC00","S",21277941.35,20119335.39
"FO","ISC00","V",323062969.28,377984606.50
"FO","LJA00","S",1049416.38,1217013.37
"FO","LJA00","V",16770466.11,33899773.11
"FO","LJC00","S",1539059.23,1547408.31
"FO","LJC00","V",29565548.05,30802212.81
"FO","LJD00","S",4519818.07,3825467.25
"FO","LJD00","V",37737020.32,35102903.49
"FO","LJE00","S",622896.74,608180.20
"FO","LJE00","V",6489050.74,6925644.83
"FO","LJF00","S",30611005.15,32030681.49
"FO","LJF00","V",748307285.78,724111389.04
"FO","LJG00","S",9772900.95,9247177.63
"FO","LJG00","V",93491476.37,107981560.63
"FO","LJH00","S",1476370.12,1899251.51
"FO","LJH00","V",14135799.52,14880731.01
"FO","LJK00","S",2877813.26,2747650.99
"FO","LJK00","V",25322971.88,28259463.02
"FO","LJL00","S",1385552.16,1330080.20
"FO","LJL00","V",13691844.78,16827964.31
"FORDQ","BNI00","S",1565338.59,1205141.19
"FORDQ","BNI00","V",146011573.96,175110545.45
"FORDQ","BNJ00","S",260889.76,311004.15
"FORDQ","BNJ00","V",33349116.53,34887139.41
"FORDQ","BNK00","S",582423.18,777510.24
"FORDQ","BNK00","V",59598433.72,85126881.76
"FORDQ","ISC00","S",1661391.61,1621486.55
"FORDQ","ISC00","V",16167832.75,16912924.76
"FTRAC","BNG00","S",2150248.71,2109278.20
"FTRAC","BNG00","V",22823004.48,24975046.02
"FTRAC","BNH00","S",2150248.71,2109278.20
"FTRAC","BNH00","V",19930863.36,18243765.71
"FTRAC","ISC00","S",758911.28,744450.95
"FTRAC","ISC00","V",7139114.63,7224705.74
"GG","AKC00","S",2227171.13,2195539.03
"GG","AKC00","V",13793787.90,13801109.65
"GG","ISC00","S",671728.82,633165.34
"GG","ISC00","V",5625403.77,6033271.38
"GSC","AZA00","S",24329193.55,12209518.81
"GSC","AZA00","V",127228338.01,125783758.08
"GSC","AZN00","S",18219593.39,20919392.94
"GSC","AZN00","V",110735299.84,114482838.42
"GSC","BEQ00","S",4708344.61,12621986.45
"GSC","BEQ00","V",2107596766.64,2446368347.57
"GSC","BEU00","S",3696776.00,3412096.31
"GSC","BEU00","V",106211805.17,101079479.84
"GSC","BEW00","S",-3838831.57,-6767343.58
"GSC","BEW00","V",55138099.23,59714210.52
"GSC","BEX00","S",5103557.49,6874373.74
"GSC","BEX00","V",19434151.39,24598279.88
"GSC","BEY00","S",407575.09,329742.19
"GSC","BEY00","V",3422433.47,2928088.59
"GSC","CUA00","S",4223483.26,4014058.73
"GSC","CUA00","V",16049880.35,14301301.59
"GSC","ISC00","S",34164118.28,33696895.10
"GSC","ISC00","V",196485125.56,228859681.85
"H","AKR00","S",8021047.32,9946036.57
"H","AKR00","V",79538362.94,74916176.09
"H","AKS00","S",6094205.26,5916766.26
"H","AKS00","V",35265829.03,36704918.41
"H","AKU00","S",16553941.80,19673317.05
"H","AKU00","V",871487616.43,920895772.59
"H","AKZ00","S",6010118.50,7061465.76
"H","AKZ00","V",78440175.25,87805285.20
"H","ALA00","S",2303203.79,46821.68
"H","ALA00","V",12956995.81,13541829.99
"H","BMA00","S",86236976.11,41046583.15
"H","BMA00","V",243343207.99,288408350.48
"H","BMD00","S",25487107.39,24055792.08
"H","BMD00","V",120154514.80,125413996.03
"H","BME00","S",6805051.69,6678828.58
"H","BME00","V",57136343.57,62400989.50
"H","CFA00","S",4028613.35,3846113.23
"H","CFA00","V",30484477.69,30302120.59
"H","ISC00","S",78540020.10,77417912.23
"H","ISC00","V",243145581.04,226317472.96
"H","LJR00","S",91866.64,112054.27
"H","LJR00","V",37129564.63,37323630.19
"H","LJS00","S",2394943.97,2211153.65
"H","LJS00","V",18476081.51,17655420.02
"H","LJT00","S",4217750.94,5055880.97
"H","LJT00","V",1134512230.47,1246576384.91
"H","LJU00","S",6872316.42,2216385.66
"H","LJU00","V",665404007.94,779669665.45
"HC","AVA00","S",17110744.67,17084331.82
"HC","AVA00","V",147633381.23,149985628.64
"HC","AVB00","S",128340966.77,124879034.16
"HC","AVB00","V",131246275.72,152945403.75
"HRSD","AMP00","S",61114294.38,66576579.36
"HRSD","AMP00","V",62604881.24,61121244.50
"HRSD","AMQ00","S",2280239500.57,2638629045.20
"HRSD","AMQ00","V",209279500.80,211538383.53
